1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
1;A;A;A;A;A;1;1;1;1;1;1;1;1;1;B;B;B;B;B;1
1;A;A;A;A;A;0;0;0;0;0;0;0;0;0;B;B;B;B;B;1
1;A;A;A;A;A;1;0;1;1;0;1;1;0;1;B;B;B;B;B;1
1;1;0;1;1;1;1;0;1;1;0;1;1;0;1;1;1;1;0;1;1
1;1;0;1;1;1;1;0;1;1;0;1;1;0;1;1;1;1;0;1;1
1;1;0;1;1;1;1;0;1;1;0;1;1;0;1;1;1;1;0;1;1
1;1;G;0;0;0;0;0;0;0;0;S;0;0;0;0;0;G;0;1;1
1;1;0;1;1;1;0;1;1;1;0;1;1;1;0;1;1;1;0;1;1
1;1;0;1;1;1;0;1;1;1;0;1;1;1;0;1;1;1;0;1;1
1;1;0;1;1;1;0;1;1;1;0;1;1;1;0;1;1;1;0;1;1
1;1;0;1;1;1;0;1;1;1;0;1;1;1;0;1;1;1;0;1;1
1;1;G;0;0;0;0;0;0;0;0;0;0;0;0;0;0;G;0;1;1
1;1;0;1;1;1;1;0;1;1;0;1;1;0;1;1;1;1;0;1;1
1;1;0;1;1;1;1;0;1;1;0;1;1;0;1;1;1;1;0;1;1
1;1;0;1;1;1;1;0;1;1;0;1;1;0;1;1;1;1;0;1;1
1;C;C;C;C;C;1;0;1;1;0;1;1;0;1;D;D;D;D;D;1
1;C;C;C;C;C;0;0;0;0;0;0;0;0;0;D;D;D;D;D;1
1;C;C;C;C;C;1;1;1;1;1;1;1;1;1;D;D;D;D;D;1
1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
